NoRakit,nomorBatang,barcode,jenisKayu,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
2895,667,1713A46TEST0000000000013011,Keruing,19.8,59,51,55,4.7,,0
2896,240,1713A46TEST0000000000012584,Meranti Merah,17.8,56,44,50,3.5,,0
2897,18,1713A46TEST0000000000012362,Meranti Merah,15.6,65,52,58,4.12,,0
2898,1741,1713A46TEST0000000000014085,Keruing,15.4,59,44,51,3.15,,0
2899,2428,1713A46TEST0000000000014772,Meranti Batu,8,88,71,79,3.63,19,7.4
2900,2254,1713A46TEST0000000000014598,Benuas,18.5,56,47,51,3.78,,0
2901,101,1713A46TEST0000000000012445,Keruing,18.4,83,66,74,7.91,,0
2902,3313,1713A46TEST0000000000015657,Lambin,13.2,59,55,57,3.37,,0
2903,1003,1713A46TEST0000000000013347,Keruing,12.9,75,63,69,4.82,,0
2904,2896,1713A46TEST0000000000015240,Benuas,18.7,70,56,63,5.83,,0
2905,144,1713A46TEST0000000000012488,Keruing,14.3,67,51,59,3.91,,0
2906,669,1713A46TEST0000000000013013,Keruing,21.3,69,52,60,5.81,10,3.5
2907,1879,1713A46TEST0000000000014223,Meranti Merah,19,70,54,62,5.74,,0
2908,1062,1713A46TEST0000000000013406,Meranti Batu,15.4,61,47,54,3.53,,0
